mean_idx_val_loss,val_loss,epoch,step,train_loss,mean_idx_loss,roc_auc_score
2.1030166149139404,1019.9630737304688,0,29,,,
,,0,29,63.877933502197266,,
1.9880309104919434,964.1949462890625,1,59,,,
,,1,59,61.19268035888672,,
1.7172904014587402,832.8858032226562,2,89,,,
,,2,89,53.48662185668945,,
1.4290943145751953,693.1107177734375,3,119,,,
,,3,119,44.19194412231445,,
,,4,149,,1.3268091678619385,
1.2394160032272339,601.1167602539062,4,149,,,
,,4,149,39.80427169799805,,
1.1190454959869385,542.737060546875,5,179,,,
,,5,179,35.119873046875,,
1.042495846748352,505.6104736328125,6,209,,,
,,6,209,32.378944396972656,,
0.9755153656005859,473.12493896484375,7,239,,,
,,7,239,29.866743087768555,,
0.8944510817527771,433.8087463378906,8,269,,,
,,8,269,28.26837158203125,,
,,9,299,,0.9115705490112305,
0.8640338182449341,419.056396484375,9,299,,,
,,9,299,27.34711456298828,,
0.8132954239845276,394.4482727050781,10,329,,,
,,10,329,24.503976821899414,,
0.7582927346229553,367.77197265625,11,359,,,
,,11,359,24.74437141418457,,
0.7044122815132141,341.63995361328125,12,389,,,
,,12,389,21.994739532470703,,
0.6676657199859619,323.81787109375,13,419,,,
,,13,419,22.04437255859375,,
,,14,449,,0.5848124623298645,
0.6529220938682556,316.6672058105469,14,449,,,
,,14,449,17.54437255859375,,
0.6180803775787354,299.76898193359375,15,479,,,
,,15,479,21.34436798095703,,
0.5879747867584229,285.1677551269531,16,509,,,
,,16,509,18.594371795654297,,
0.5720979571342468,277.4674987792969,17,539,,,
,,17,539,19.344371795654297,,
0.558283269405365,270.7673645019531,18,569,,,
,,18,569,16.844371795654297,,
,,19,599,,0.5348123908042908,
0.5316851735115051,257.8673095703125,19,599,,,
,,19,599,16.044370651245117,,
0.5232316851615906,253.76734924316406,20,629,,,
,,20,629,15.594372749328613,,
0.5003447532653809,242.6671905517578,21,659,,,
,,21,659,14.89437198638916,,
0.4874580502510071,236.41714477539062,22,689,,,
,,22,689,15.44437026977539,,
0.4756027162075043,230.6673126220703,23,719,,,
,,23,719,15.094371795654297,,
,,24,749,,0.46314579248428345,
0.46931421756744385,227.6173858642578,24,749,,,
,,24,749,13.894372940063477,,
0.4525098204612732,219.46725463867188,25,779,,,
,,25,779,14.14437198638916,,
0.45147910714149475,218.9673614501953,26,809,,,
,,26,809,14.244372367858887,,
0.44704586267471313,216.81723022460938,27,839,,,
,,27,839,14.294371604919434,,
0.4411695599555969,213.96722412109375,28,869,,,
,,28,869,13.69437313079834,,
,,29,899,,0.4014790654182434,
0.4244684875011444,205.86720275878906,29,899,,,
,,29,899,12.044371604919434,,
,,30,900,,,0.002387721187570206
