train_loss,epoch,step,mean_idx_loss
185.61228942871094,0,107,
174.21092224121094,1,215,
149.72560119628906,2,323,
115.61601257324219,3,431,
91.74312591552734,4,539,
81.20585632324219,5,647,
69.23807525634766,6,755,
62.436378479003906,7,863,
56.29180145263672,8,971,
51.627647399902344,9,1079,
42.762332916259766,10,1187,
37.30009078979492,11,1295,
32.8503303527832,12,1403,
29.049739837646484,13,1511,
25.0997371673584,14,1619,
22.949731826782227,15,1727,
20.699737548828125,16,1835,
20.199737548828125,17,1943,
17.299739837646484,18,2051,
16.54973793029785,19,2159,
14.79974365234375,20,2267,
12.69974136352539,21,2375,
13.849739074707031,22,2483,
12.249740600585938,23,2591,
,24,2699,0.11110871285200119
11.999740600585938,24,2699,
10.749739646911621,25,2807,
12.149741172790527,26,2915,
11.149739265441895,27,3023,
9.749738693237305,28,3131,
10.999734878540039,29,3239,
