val_accuracy,val_loss,epoch,step,train_loss,test_accuracy,test_loss
0.32499998807907104,0.6530835628509521,0,13,,,
0.32499998807907104,0.6413379311561584,1,27,,,
0.42500001192092896,0.6281665563583374,2,41,,,
,,3,49,0.45279237627983093,,
0.675000011920929,0.6173639297485352,3,55,,,
0.675000011920929,0.612408459186554,4,69,,,
0.675000011920929,0.6054000854492188,5,83,,,
0.675000011920929,0.5981298685073853,6,97,,,
,,7,99,0.5319048762321472,,
0.675000011920929,0.5912343263626099,7,111,,,
0.675000011920929,0.5846967697143555,8,125,,,
0.675000011920929,0.5774682760238647,9,139,,,
,,10,149,0.5248814821243286,,
0.675000011920929,0.5695278644561768,10,153,,,
0.675000011920929,0.5605406761169434,11,167,,,
0.675000011920929,0.5524497032165527,12,181,,,
0.675000011920929,0.5429549813270569,13,195,,,
,,14,199,0.3152874708175659,,
0.675000011920929,0.5336675643920898,14,209,,,
0.675000011920929,0.5235325694084167,15,223,,,
0.675000011920929,0.5117135047912598,16,237,,,
,,17,249,0.6226016879081726,,
0.675000011920929,0.5033846497535706,17,251,,,
0.675000011920929,0.4914156198501587,18,265,,,
0.675000011920929,0.4845624268054962,19,279,,,
0.7124999761581421,0.4743598699569702,20,293,,,
,,21,299,0.38068848848342896,,
0.7749999761581421,0.46454259753227234,21,307,,,
0.7749999761581421,0.45929625630378723,22,321,,,
0.7749999761581421,0.44974780082702637,23,335,,,
,,24,349,0.17695626616477966,,
0.7749999761581421,0.4417575001716614,24,349,,,
0.7749999761581421,0.43823111057281494,25,363,,,
0.8374999761581421,0.4331638514995575,26,377,,,
0.8374999761581421,0.42861971259117126,27,391,,,
,,28,399,0.5405595302581787,,
0.7749999761581421,0.4321751892566681,28,405,,,
0.8374999761581421,0.4268886148929596,29,419,,,
0.8374999761581421,0.4231041967868805,30,433,,,
0.8374999761581421,0.41914018988609314,31,447,,,
,,32,449,0.4186092019081116,,
0.8374999761581421,0.41942328214645386,32,461,,,
0.8374999761581421,0.4131180942058563,33,475,,,
0.8374999761581421,0.4099404215812683,34,489,,,
,,35,499,0.30269667506217957,,
0.8374999761581421,0.42028719186782837,35,503,,,
0.8374999761581421,0.41407638788223267,36,517,,,
0.8374999761581421,0.41565364599227905,37,531,,,
0.8374999761581421,0.4270074665546417,38,545,,,
,,39,549,0.17614620923995972,,
0.8374999761581421,0.41043776273727417,39,559,,,
,,40,560,,1.0,0.21040335297584534
0.8374999761581421,0.4112050533294678,40,573,,,
0.8374999761581421,0.41833001375198364,41,587,,,
0.8374999761581421,0.41938015818595886,42,601,,,
,,43,609,0.31938043236732483,,
0.8374999761581421,0.41879063844680786,43,615,,,
0.8374999761581421,0.4193856120109558,44,629,,,
0.8374999761581421,0.4212503135204315,45,643,,,
0.8374999761581421,0.4190797805786133,46,657,,,
,,47,659,0.5316057205200195,,
0.8374999761581421,0.4322003126144409,47,671,,,
0.8374999761581421,0.4177917242050171,48,685,,,
0.8374999761581421,0.42392510175704956,49,699,,,
,,50,709,0.2033049762248993,,
0.8374999761581421,0.4178832769393921,50,713,,,
,,51,714,,1.0,0.17526289820671082
